Token,Item Name,Variation Name,SKU,Description,Categories,Reporting Category,SEO Title,SEO Description,Permalink,GTIN,Square Online Item Visibility,Item Type,Weight (lb),Social Media Link Title,Social Media Link Description,Shipping Enabled,Self-serve Ordering Enabled,Delivery Enabled,Pickup Enabled,Price,Online Sale Price,Archived,Sellable,Contains Alcohol,Stockable,Skip Detail Screen in POS,Option Name 1,Option Value 1,Current Quantity Bashful Beauty,New Quantity Bashful Beauty,Stock Alert Enabled Bashful Beauty,Stock Alert Count Bashful Beauty,Tax - Sales Tax (8.25%)
ZGPODLIUGE5EOBOKLACOYMHO,$100 Gift Card,Regular,,,Gift Card,Gift Card,,,,,visible,Physical good,,,,Y,,,Y,100.00,,N,,,,N,,,,,,,N
U2NCVZV6KAXXTQZVLO7466W5,$125 Gift Card,Regular,,,Gift Card,Gift Card,,,,,visible,Physical good,,,,Y,,,Y,125.00,,N,,,,N,,,,,,,N
G5K5RQWLFTLS57BT2BRWSG7N,$150 Gift Card,Regular,,,Gift Card,Gift Card,,,,,visible,Physical good,,,,Y,,,Y,150.00,,N,,,,N,,,,,,,N
FOLPZKBDM3IF44G5XGGI3J7G,$25 Gift Card,Regular,,,Gift Card,Gift Card,,,,,visible,Physical good,,,,Y,,,Y,25.00,,N,,,,N,,,,,,,N
QDNVIE2P4MRYTYQ52IIBJOLU,$50 Gift Card,Regular,,,Gift Card,Gift Card,,,,,visible,Physical good,,,,Y,,,Y,50.00,,N,,,,N,,,,,,,N
DMWMA3HPSXBZTE5WTHY6ZRK6,$75 Gift Card,Regular,,,Gift Card,Gift Card,,,,,visible,Physical good,,,,Y,,,Y,75.00,,N,,,,N,,,,,,,N
XVKKZIGB5KKFHGQYEMF3UUHL,A la mode balm,Regular,,,Farm House Fresh,Farm House Fresh,,,,,,Physical good,,,,Y,,,,14.50,,N,,,,N,,,1,,Y,2,Y
EZFPLW247KNVZFLJLUC5PZEJ,Agave Nectar Body Oil,Regular,,,Farm House Fresh,Farm House Fresh,,,,,visible,Physical good,,,,Y,N,N,Y,31.00,,N,,N,,N,,,5,,,,Y
BLZCKH5A7VSYSYPUKYSAK24D,Ahhsome Relief Mousse,Regular,,,Farm House Fresh,Farm House Fresh,,,,,,Physical good,,,,Y,,,,32.00,,N,,,,N,,,0,,Y,3,Y
A2SLL7SYXBNECMW6UBJ25UZI,All-in-one razor,Regular,,,Alleyoop,Alleyoop,,,,,,Physical good,,,,Y,,,,18.00,,N,,,,N,,,0,,Y,3,Y
F5ANNEXSYDJEMWB6NMRZLRSA,Almond Amandola Milk Cleanser,Regular,,,Circadia,Circadia,,,,,visible,Physical good,,,,Y,N,N,Y,41.00,,N,,N,,N,,,9,,Y,4,Y
VCVS2OFZ3DZMX737PW4VCGFJ,Aloe & Calendula Calming Mist,Regular,,,Circadia,Circadia,,,,,visible,Physical good,,,,Y,N,N,Y,30.00,,N,,N,,N,,,14,,Y,4,Y
YBMKZSZS4TIFPCWSVU7UEYXP,Amandola Mini 2oz,Regular,,,Circadia,Circadia,,,,,unavailable,Physical good,,,,Y,,N,N,16.00,,N,,,,N,,,0,,Y,3,Y
LS74IADZT3DGN2IHHYWYKME2,AnteAge Accelerator,Regular,,,AnteAge,AnteAge,,,,,,Physical good,,,,Y,N,N,N,100.00,,N,,N,,N,,,0,,,,Y
NUNGEFJGJMZ473UC2QGPL6OE,AnteAge Serum,Regular,,"Restore your skin’s ability to heal itself with AnteAGE® regenerating serum. This elegant formula quickly absorbs into your skin, and contains physiologically balanced Stem Cytokines™, potent peptides and protective Antioxidants. Utilizing nanotechnology, this symphony of ingredients act in concert to deliver powerful results at the cellular level.

Initiates a pro-healing and anti-inflammatory response
Reduces the appearance of fine lines and wrinkles
Reduction in skin redness and sensitivity
Protects from environmental assault
pH: 6.0",AnteAge,AnteAge,,,,,,Physical good,,,,Y,N,N,N,150.00,,N,,N,,N,,,0,,Y,0,Y
VKQ6SEXNQ5QKFDJDB6ZAYLDU,AnteAge Travel Size Kit,Regular,,,AnteAge,AnteAge,,,,,,Physical good,,,,Y,N,N,N,40.00,,N,,N,,N,,,3,,Y,2,Y
ELT46O3JXYS5MEQWJYJTPD5S,Anti-Aging Pads,Regular,,,Lira Clinical,Lira Clinical,,,,,visible,Physical good,,,,Y,,,Y,80.00,,N,,,,N,,,0,,Y,2,Y
WXOM3GB5Q6KGFV4GJWTQT2SO,AquaPorin Hydrating Cream,Regular,,,Circadia,Circadia,,,,,visible,Physical good,,,,Y,N,N,Y,61.00,,N,,N,,N,,,13,,Y,4,Y
